"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Football-Deportivo-III-Flexible-Ground-Boots-Kids-Men-Black-IF1407-i.270510657.26740989496?extraParams=%7B%22display_model_id%22%3A296406097257%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824iv-me4zgk185rsw01","adidas Football Deportivo III Flexible Ground Boots Kids Men Black IF1407","550.000","5.0","37 terjual","",""
"https://shopee.co.id/adidas-Football-Copa-Pure-3-League-Firm-Multi-Ground-Boots-Unisex-Black-JH6298-i.270510657.43365255091?extraParams=%7B%22display_model_id%22%3A216226948779%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ih-mdwqwc415qtc12","adidas Football Copa Pure 3 League Firm/Multi-Ground Boots Unisex Black JH6298","1.080.000","4.6","Pilih 2, diskon 15%","-10%","33 terjual"
"https://shopee.co.id/adidas-Football-F50-Messi-League-Firm-Multi-Ground-Boots-Unisex-White-JP7446-i.270510657.41165255339?extraParams=%7B%22display_model_id%22%3A261261161908%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hq-mdwr4e6e7qiu91","adidas Football F50 Messi League Firm/Multi-Ground Boots Unisex White JP7446","840.000","5.0","Pilih 2, diskon 15%","-40%","40 terjual"
"https://shopee.co.id/adidas-Football-STARLANCER-CLUB-BALL-Unisex-Black-JW1357-i.270510657.49502572852?extraParams=%7B%22display_model_id%22%3A262226031498%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8224u-mhtq40ncyrk2ac","adidas Football STARLANCER CLUB BALL Unisex Black JW1357","300.000","5.0","11 terjual","",""
"https://shopee.co.id/adidas-Football-F50-League-Turf-Boots-Kids-Unisex-Purple-JI0000-i.270510657.44065308431?extraParams=%7B%22display_model_id%22%3A281265071815%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h1-mdx4j9krmdc4be","adidas Football F50 League Turf Boots Kids Unisex Purple JI0000","950.000","4.9 Penilaian Toko","","",""
"https://shopee.co.id/adidas-Football-Squadra-25-Jersey-Men-Blue-JG5826-i.270510657.42351187813?extraParams=%7B%22display_model_id%22%3A260095595827%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkb-maupcpuv9g38ab","adidas Football Squadra 25 Jersey Men Blue JG5826","350.000","4.8","50 terjual","",""
"https://shopee.co.id/adidas-Football-Trionda-Argentina-Home-Club-Ball-Unisex-White-JY0304-i.270510657.49500532823?extraParams=%7B%22display_model_id%22%3A330046670329%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821g1-mggdznfszy8e01","adidas Football Trionda Argentina Home Club Ball Unisex White JY0304","350.000","5.0","5 terjual","",""
"https://shopee.co.id/adidas-Football-F50-League-Firm-Multi-Ground-Boots-Unisex-Black-JI0007-i.270510657.42515262226?extraParams=%7B%22display_model_id%22%3A261261691777%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824jl-mdwtc10m2zuufb","adidas Football F50 League Firm/Multi-Ground Boots Unisex Black JI0007","1.400.000","5.0","17 terjual","",""
"https://shopee.co.id/adidas-Football-Super-Sala-Competition-III-Indoor-Boots-Unisex-Green-IH7687-i.270510657.24545238240?extraParams=%7B%22display_model_id%22%3A243428455259%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk1-maurl6t5rm3d81","adidas Football Super Sala Competition III Indoor Boots Unisex Green IH7687","900.000","5.0","Pilih 2, diskon 15%","","80 terjual"
"https://shopee.co.id/adidas-Football-Deportivo-III-Turf-Boots-Men-Purple-JS0193-i.270510657.43215257457?extraParams=%7B%22display_model_id%22%3A261261784227%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h7-mdwtpb4eja4le9","adidas Football Deportivo III Turf Boots Men Purple JS0193","700.000","4.9","76 terjual","",""
"https://shopee.co.id/adidas-Football-Germany-26-Home-Socks-Unisex-White-JN2079-i.270510657.44426572106?extraParams=%7B%22display_model_id%22%3A340158378931%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821f1-mh8wnc8n8cgf16","adidas Football Germany 26 Home Socks Unisex White JN2079","280.000","5.0","21 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Official-Emblem-Cap-Unisex-White-KE7369-i.270510657.50851430738?extraParams=%7B%22display_model_id%22%3A302158643748%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821e9-mhbfret2zvgod8","adidas Football FIFA World Cup 26™ Official Emblem Cap Unisex White KE7369","350.000","5.0","8 terjual","",""
"https://shopee.co.id/adidas-Football-Liverpool-FC-25-26-Away-Jersey-Unisex-White-JV6453-i.270510657.44077132268?extraParams=%7B%22display_model_id%22%3A320276706652%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822ww-mi2tz6hic7pi76","adidas Football Liverpool FC 25/26 Away Jersey Unisex White JV6453","760.000","4.9 Penilaian Toko","Pilih 2, diskon 15%","-20%",""
"https://shopee.co.id/adidas-Football-Arsenal-25-26-Home-Socks-Unisex-Red-JJ1917-i.270510657.40565239967?extraParams=%7B%22display_model_id%22%3A281260490235%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824j3-mdwqem6ekc1v1f","adidas Football Arsenal 25/26 Home Socks Unisex Red JJ1917","182.000","5.0","Pilih 2, diskon 15%","-35%","16 terjual"
"https://shopee.co.id/adidas-Football-Juventus-25-26-Home-Jersey-Men-White-JJ4320-i.270510657.44177141363?extraParams=%7B%22display_model_id%22%3A370276704244%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-822zz-mi2tzl9x3fuob0","adidas Football Juventus 25/26 Home Jersey Men White JJ4320","960.000","5.0","Pilih 2, diskon 15%","-20%","9 terjual"
"https://shopee.co.id/adidas-Football-F50-League-Indoor-Boots-Unisex-Orange-JH7718-i.270510657.27441096693?extraParams=%7B%22display_model_id%22%3A138408390452%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824he-me84edtbzfgn6a","adidas Football F50 League Indoor Boots Unisex Orange JH7718","910.000","5.0","Pilih 2, diskon 15%","-35%","30 terjual"
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Trionda-Club-Ball-Unisex-Pink-JD8029-i.270510657.42225605337?extraParams=%7B%22display_model_id%22%3A267074613894%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825bc-mg5tg50laia62c","adidas Football FIFA World Cup 26™ Trionda Club Ball Unisex Pink JD8029","350.000","5.0","10 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-League-Ball-Unisex-White-JD8045-i.270510657.44272801788?extraParams=%7B%22display_model_id%22%3A234554787711%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825ar-mg8ok7ufnr4bb6","adidas Football FIFA World Cup 26™ League Ball Unisex White JD8045","550.000","5.0","38 terjual","",""
"https://shopee.co.id/adidas-Football-Predator-League-Firm-Multi-Ground-Boots-Unisex-Orange-JI1115-i.270510657.44167407998?extraParams=%7B%22display_model_id%22%3A281434935929%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gx-me84e4sfqk8zb9","adidas Football Predator League Firm/Multi-Ground Boots Unisex Orange JI1115","1.400.000","5.0","92 terjual","",""
"https://shopee.co.id/adidas-Football-F50-Club-Indoor-Boots-Unisex-Purple-JI0023-i.270510657.42965252493?extraParams=%7B%22display_model_id%22%3A261261021615%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gk-mdwqf3ox6z2e3c","adidas Football F50 Club Indoor Boots Unisex Purple JI0023","900.000","5.0","10 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Trionda-Club-Ball-Unisex-Blue-JD8027-i.270510657.40925605388?extraParams=%7B%22display_model_id%22%3A234594482663%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8259r-mg5wli6nsjd645","adidas Football FIFA World Cup 26™ Trionda Club Ball Unisex Blue JD8027","350.000","4.9","21 terjual","",""
"https://shopee.co.id/adidas-Football-TOP-SALA-COMPETITION-II-Indoor-Football-Shoes-Unisex-White-JP6980-i.270510657.46001734443?extraParams=%7B%22display_model_id%22%3A262174616360%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-82274-mhgw6jwbyyv880","adidas Football TOP SALA COMPETITION II Indoor Football Shoes Unisex White JP6980","1.080.000","5.0","Pilih 2, diskon 15%","-10%","5 terjual"
"https://shopee.co.id/adidas-Football-Tiro26-League-Training-Pants-Regular-Men-Blue-JY7229-i.270510657.42425392712?extraParams=%7B%22display_model_id%22%3A302058840104%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8259i-mg4caq3xfrwsf9","adidas Football Tiro26 League Training Pants Regular Men Blue JY7229","520.000","5.0","Pilih 2, diskon 15%","-35%","6 terjual"
"https://shopee.co.id/adidas-Football-Predator-League-Fold-Over-Tongue-Firm-Multi-Ground-Boots-Unisex-Black-JI1110-i.270510657.42865255828?extraParams=%7B%22display_model_id%22%3A266261273335%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824is-mdwrqg34xuddee","adidas Football Predator League Fold-Over Tongue Firm/Multi-Ground Boots Unisex Black JI1110","1.500.000","5.0","4 terjual","",""
"https://shopee.co.id/adidas-Football-Squadra-25-Shorts-Men-Blue-JH3405-i.270510657.27436680618?extraParams=%7B%22display_model_id%22%3A290096330122%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk0-mauqz8f6eme114","adidas Football Squadra 25 Shorts Men Blue JH3405","350.000","5.0","14 terjual","",""
"https://shopee.co.id/adidas-Football-Manchester-United-25-26-Away-Jersey-Unisex-White-JP3030-i.270510657.42315296230?extraParams=%7B%22display_model_id%22%3A206227357141%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824i1-mdx11ll588w05c","adidas Football Manchester United 25/26 Away Jersey Unisex White JP3030","760.000","5.0","Pilih 2, diskon 15%","-20%","6 terjual"
