"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","inline-block","truncate","h-4","truncate 2"
"https://shopee.co.id/adidas-Lifestyle-Mid-Cut-Crew-Socks-3-Pairs-Unisex-White-IL5026-i.270510657.29318082474?extraParams=%7B%22display_model_id%22%3A242062745047%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk4-mauq49stiovsa7","adidas Lifestyle Mid Cut Crew Socks 3 Pairs Unisex White IL5026","250.000","5.0","132 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Lifestyle-Sport-Waist-Bag-Women-Black-JE3225-i.270510657.28286664401?extraParams=%7B%22display_model_id%22%3A285094945748%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdw3-mcmdlko7128jec","adidas Gym & Training & Lifestyle Sport Waist Bag Women Black JE3225","500.000","4.9","515 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-APWR-Backpack-Unisex-Beige-IX3178-i.270510657.26218087288?extraParams=%7B%22display_model_id%22%3A139144683410%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdxa-mcmd8q8bsklc7d","adidas Lifestyle APWR Backpack Unisex Beige IX3178","480.000","4.9","Pilih 2, diskon 15%","-20%","1RB+ terjual"
"https://shopee.co.id/adidas-Gym-Training-Performance-Cushioned-Low-Socks-3-Pairs-Unisex-Black-IC9518-i.270510657.27968734334?extraParams=%7B%22display_model_id%22%3A205588398824%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk0-mauqtpdxmmk48b","adidas Gym & Training Performance Cushioned Low Socks 3 Pairs Unisex Black IC9518","180.000","5.0","415 terjual","",""
"https://shopee.co.id/adidas-Lifestyle-Classic-Foundation-Backpack-Unisex-Grey-IZ1904-i.270510657.44301177943?extraParams=%7B%22display_model_id%22%3A300094853463%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdx5-mdqpw7rnp2bgec","adidas Lifestyle Classic Foundation Backpack Unisex Grey IZ1904","240.000","4.9","Pilih 2, diskon 15%","-20%","1RB+ terjual"
"https://shopee.co.id/adidas-Lifestyle-3-Stripes-Cotton-Twill-Baseball-Cap-Unisex-Black-IB3242-i.270510657.29868087917?extraParams=%7B%22display_model_id%22%3A257063440348%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-825ax-mg600ncbwah5a1","adidas Lifestyle 3-Stripes Cotton Twill Baseball Cap Unisex Black IB3242","300.000","5.0","433 terjual","",""
"https://shopee.co.id/adidas-Gym-Training-Lifestyle-EP-Syst.-Shoe-Bag-Unisex-Black-IM5233-i.270510657.29868084644?extraParams=%7B%22display_model_id%22%3A247063374595%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk3-maupya355cqc2b","adidas Gym & Training & Lifestyle EP/Syst. Shoe Bag Unisex Black IM5233","245.000","5.0","Pilih 2, diskon 15%","-30%","405 terjual"
"https://shopee.co.id/adidas-Lifestyle-Essentials-Linear-Duffel-Bag-Medium-Unisex-Black-HT4743-i.270510657.25138525868?extraParams=%7B%22display_model_id%22%3A158892625334%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbkd-mauriy43tfu3c0","adidas Lifestyle Essentials Linear Duffel Bag Medium Unisex Black HT4743","480.000","5.0","Pilih 2, diskon 15%","-20%","1RB+ terjual"
"https://shopee.co.id/adidas-Lifestyle-Essentials-Classic-Backpack-Unisex-Black-JF0755-i.270510657.29736649629?extraParams=%7B%22display_model_id%22%3A147846509177%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/id-11134201-7rbk5-maupzebs9hw940","adidas Lifestyle Essentials Classic Backpack Unisex Black JF0755","650.000","5.0","167 terjual","",""
"https://shopee.co.id/adidas-Football-FIFA-World-Cup-26%E2%84%A2-Official-Emblem-Cap-Unisex-White-KE7369-i.270510657.50851430738?extraParams=%7B%22display_model_id%22%3A302158643748%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-821e9-mhbfret2zvgod8","adidas Football FIFA World Cup 26™ Official Emblem Cap Unisex White KE7369","350.000","4.9 Penilaian Toko","8 terjual","",""
