"contents href","_image_yazkc_11 src","whitespace-normal","font-medium 2","h-4","truncate","inline-block","truncate 2","_image_yazkc_11 src 4"
"https://shopee.co.id/adidas-Football-Predator-League-Turf-Boots-Kids-Unisex-White-JI1149-i.270510657.40315247612?extraParams=%7B%22display_model_id%22%3A258800275311%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824iv-mdwq8aem0suf81","adidas Football Predator League Turf Boots Kids Unisex White JI1149","950.000","","","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Food-Graphic-Tee-Kids-Unisex-White-JV5248-i.270510657.40465252794?extraParams=%7B%22display_model_id%22%3A301260529738%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8257t-mgeckr9r277sba","adidas Lifestyle Food Graphic Tee Kids Unisex White JV5248","280.000","-30%","Pilih 2, diskon 15%","5.0","76 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Team-Court-2.0-STR-Shoes-Kids-Unisex-Black-ID6630-i.270510657.26786562829?extraParams=%7B%22display_model_id%22%3A275062850841%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-820nc-mncrn67v2nsx09","adidas Lifestyle Team Court 2.0 STR Shoes Kids Unisex Black ID6630","770.000","-30%","Pilih 2, diskon 15%","4.9","47 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Football-Predator-League-Indoor-Boots-Kids-Unisex-Orange-JI1160-i.270510657.42767399826?extraParams=%7B%22display_model_id%22%3A281434919385%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824j3-me84didots74d9","adidas Football Predator League Indoor Boots Kids Unisex Orange JI1160","855.000","-10%","Pilih 2, diskon 15%","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Football-Predator-League-Firm-Multi-Ground-Boots-Kids-Unisex-Black-JI1122-i.270510657.42515252135?extraParams=%7B%22display_model_id%22%3A296260407709%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824h5-mdwq282a21vm5e","adidas Football Predator League Firm/Multi-Ground Boots Kids Unisex Black JI1122","950.000","","","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-adidas-Z.N.E.-Fitted-Crop-Tee-Kids-Women-White-JD1317-i.270510657.43467035072?extraParams=%7B%22display_model_id%22%3A248846841955%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824ha-me4zg7ulo2kl5b","adidas Lifestyle adidas Z.N.E. Fitted Crop Tee Kids Women White JD1317","301.000","-30%","Pilih 2, diskon 15%","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Essentials-Shorts-Kids-Unisex-Black-JE0310-i.270510657.27336665782?extraParams=%7B%22display_model_id%22%3A168933296388%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-7rdvh-mc21w6mgol2md1","adidas Lifestyle Essentials Shorts Kids Unisex Black JE0310","380.000","","","5.0","24 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Lifestyle-Breaknet-3.0-Shoes-Kids-Unisex-White-JS3686-i.270510657.40265255392?extraParams=%7B%22display_model_id%22%3A286260624902%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-8262b-mka8pm2g8ikl80","adidas Lifestyle Breaknet 3.0 Shoes Kids Unisex White JS3686","550.000","","","5.0","43 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Football-F50-Club-Firm-Multi-Ground-Boots-Kids-Unisex-Black-JI0028-i.270510657.41065248294?extraParams=%7B%22display_model_id%22%3A301260579217%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824hk-mdwqwv7si9dtd5","adidas Football F50 Club Firm/Multi-Ground Boots Kids Unisex Black JI0028","650.000","","","4.9 Penilaian Toko","","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
"https://shopee.co.id/adidas-Tennis-Lifestyle-adidas-x-Smiley-Advantage-Base-2.0-Shoes-Kids-Unisex-White-IH6276-i.270510657.43217028164?extraParams=%7B%22display_model_id%22%3A228064700319%2C%22model_selection_logic%22%3A3%7D","https://down-id.img.susercontent.com/file/sg-11134201-824gb-me4yju7ue2va62","adidas Tennis & Lifestyle adidas x Smiley Advantage Base 2.0 Shoes Kids Unisex White IH6276","700.000","-30%","Pilih 2, diskon 15%","5.0","18 terjual","https://down-id.img.susercontent.com/file/id-11134258-7r98o-lym7r498wldxcb"
